|    |   d_model |   seq_len | precision      |   forward_time |   backward_time |   full_time |   pre_back_memory |
|---:|----------:|----------:|:---------------|---------------:|----------------:|------------:|------------------:|
|  0 |        16 |       128 | torch.bfloat16 |      0.0501301 |        0.369435 |    0.36981  |           32.0317 |
|  1 |        16 |       128 | torch.float32  |      0.0557351 |        0.374649 |    0.375398 |           64.0474 |
|  2 |        16 |       256 | torch.bfloat16 |      0.0512614 |        0.372471 |    0.371898 |           64.0942 |
|  3 |        16 |       256 | torch.float32  |      0.0470152 |        0.384757 |    0.384227 |           64.126  |
|  4 |        16 |       512 | torch.bfloat16 |      0.050651  |        0.633613 |    0.631621 |           64.3135 |
|  5 |        16 |       512 | torch.float32  |      0.0518354 |        1.03076  |    1.03154  |           64.377  |
|  6 |        16 |      1024 | torch.bfloat16 |      0.061862  |        0.371634 |    0.371807 |           65.127  |
|  7 |        16 |      1024 | torch.float32  |      0.0718893 |        0.393138 |    0.394434 |           65.2539 |
|  8 |        16 |      2048 | torch.bfloat16 |      0.10646   |        0.371014 |    0.372033 |           68.2539 |
|  9 |        16 |      2048 | torch.float32  |      0.127965  |        0.432604 |    0.434255 |           68.5078 |
| 10 |        16 |      4096 | torch.bfloat16 |      0.297207  |        0.913224 |    0.912798 |           80.5078 |
| 11 |        16 |      4096 | torch.float32  |      0.443046  |        1.76413  |    1.76649  |           81.0156 |
| 12 |        16 |      8192 | torch.bfloat16 |      1.05799   |        4.23574  |    4.23524  |          129.016  |
| 13 |        16 |      8192 | torch.float32  |      1.59659   |        7.70509  |    7.6901   |          130.031  |
| 14 |        16 |     16384 | torch.bfloat16 |      3.8756    |       15.3588   |   15.3425   |          322.031  |
| 15 |        16 |     16384 | torch.float32  |      6.00279   |       23.6481   |   23.62     |          324.062  |
| 16 |        16 |     32768 | torch.bfloat16 |     15.0994    |       54.6848   |   54.608    |         1092.06   |
| 17 |        16 |     32768 | torch.float32  |     23.4879    |      296.793    |  297.639    |         1096.12   |
| 18 |        16 |     65536 | torch.bfloat16 |     60.2078    |      586.708    |  457.728    |         4168.12   |
| 19 |        16 |     65536 | torch.float32  |     98.2546    |      nan        |  nan        |         4176.25   |
| 20 |        32 |       128 | torch.bfloat16 |      0.0501182 |        0.373397 |    0.364674 |           64.0474 |
| 21 |        32 |       128 | torch.float32  |      0.0585977 |        0.373126 |    0.373335 |           64.0786 |
| 22 |        32 |       256 | torch.bfloat16 |      0.0504973 |        0.363406 |    0.365387 |           64.1255 |
| 23 |        32 |       256 | torch.float32  |      0.0492852 |        0.966447 |    0.966528 |           64.1885 |
| 24 |        32 |       512 | torch.bfloat16 |      0.0506713 |        1.1525   |    0.966129 |           64.376  |
| 25 |        32 |       512 | torch.float32  |      0.0532543 |        3.08103  |    3.42255  |           64.502  |
| 26 |        32 |      1024 | torch.bfloat16 |      0.0624236 |        0.373541 |    0.370597 |           65.252  |
| 27 |        32 |      1024 | torch.float32  |      0.074514  |        0.392094 |    0.391871 |           65.5039 |
| 28 |        32 |      2048 | torch.bfloat16 |      0.107313  |        0.370686 |    0.371779 |           68.5039 |
| 29 |        32 |      2048 | torch.float32  |      0.131809  |        0.437888 |    0.439324 |           69.0078 |
| 30 |        32 |      4096 | torch.bfloat16 |      0.296482  |        0.910253 |    0.910539 |           81.0078 |
| 31 |        32 |      4096 | torch.float32  |      0.458143  |        1.79664  |    1.79332  |           82.0156 |
| 32 |        32 |      8192 | torch.bfloat16 |      1.05662   |        4.24802  |    4.24438  |          130.016  |
| 33 |        32 |      8192 | torch.float32  |      1.6318    |        7.78611  |    7.7445   |          132.031  |
| 34 |        32 |     16384 | torch.bfloat16 |      3.86851   |       15.4033   |   15.3527   |          324.031  |
| 35 |        32 |     16384 | torch.float32  |      6.14975   |       23.88     |   23.7749   |          328.062  |
| 36 |        32 |     32768 | torch.bfloat16 |     15.092     |       54.8177   |   54.488    |         1096.06   |
| 37 |        32 |     32768 | torch.float32  |     24.1394    |      219.029    |  291.661    |         1104.12   |
| 38 |        32 |     65536 | torch.bfloat16 |     60.1592    |      441.711    |  445.933    |         4176.12   |
| 39 |        32 |     65536 | torch.float32  |    100.864     |      nan        |  nan        |         4192.25   |
| 40 |        64 |       128 | torch.bfloat16 |      0.0503982 |        0.37517  |    0.37336  |           64.0786 |
| 41 |        64 |       128 | torch.float32  |      0.0589329 |        0.373641 |    0.372765 |           64.1411 |
| 42 |        64 |       256 | torch.bfloat16 |      0.0470613 |        0.359955 |    0.360641 |           64.188  |
| 43 |        64 |       256 | torch.float32  |      0.0508509 |        0.966291 |    0.966662 |           64.3135 |
| 44 |        64 |       512 | torch.bfloat16 |      0.0511083 |        0.967287 |    0.966355 |           64.501  |
| 45 |        64 |       512 | torch.float32  |      0.0558668 |        3.08257  |    3.08193  |           64.752  |
| 46 |        64 |      1024 | torch.bfloat16 |      0.0625963 |        0.371211 |    0.372576 |           65.502  |
| 47 |        64 |      1024 | torch.float32  |      0.0723414 |        0.380178 |    0.385432 |           66.0039 |
| 48 |        64 |      2048 | torch.bfloat16 |      0.109542  |        0.373441 |    0.374254 |           69.0039 |
| 49 |        64 |      2048 | torch.float32  |      0.143416  |        0.472703 |    0.472505 |           70.0078 |
| 50 |        64 |      4096 | torch.bfloat16 |      0.296665  |        0.911493 |    0.911493 |           82.0078 |
| 51 |        64 |      4096 | torch.float32  |      0.495436  |        1.90227  |    1.89404  |           84.0156 |
| 52 |        64 |      8192 | torch.bfloat16 |      1.05628   |        4.23686  |    4.23738  |          132.016  |
| 53 |        64 |      8192 | torch.float32  |      1.7776    |        8.06139  |    8.05237  |          136.031  |
| 54 |        64 |     16384 | torch.bfloat16 |      3.8724    |       15.3975   |   15.3961   |          328.031  |
| 55 |        64 |     16384 | torch.float32  |      6.9084    |       25.3065   |   25.335    |          336.062  |
| 56 |        64 |     32768 | torch.bfloat16 |     15.1281    |       54.0287   |   54.2479   |         1104.06   |
| 57 |        64 |     32768 | torch.float32  |     26.7784    |      214.904    |  298.038    |         1120.12   |
| 58 |        64 |     65536 | torch.bfloat16 |     60.356     |      455.283    |  442.052    |         4192.12   |
| 59 |        64 |     65536 | torch.float32  |    107.252     |      nan        |  nan        |         4224.25   |
| 60 |       128 |       128 | torch.bfloat16 |      0.0445379 |        0.360299 |    0.356839 |           64.1411 |
| 61 |       128 |       128 | torch.float32  |      0.0501547 |        0.385002 |    0.38451  |           64.2661 |
| 62 |       128 |       256 | torch.bfloat16 |      0.0472784 |        0.361117 |    0.359216 |           64.313  |
| 63 |       128 |       256 | torch.float32  |      0.0546482 |        0.9657   |    0.966234 |           64.5635 |
| 64 |       128 |       512 | torch.bfloat16 |      0.0522233 |        0.966456 |    0.966387 |           64.751  |
| 65 |       128 |       512 | torch.float32  |      0.0580874 |        2.02367  |    2.02435  |           65.252  |
| 66 |       128 |      1024 | torch.bfloat16 |      0.0651035 |        0.374325 |    0.371342 |           66.002  |
| 67 |       128 |      1024 | torch.float32  |      0.0811747 |        0.384005 |    0.397017 |           67.0039 |
| 68 |       128 |      2048 | torch.bfloat16 |      0.109358  |        0.376291 |    0.378171 |           70.0039 |
| 69 |       128 |      2048 | torch.float32  |      0.160679  |        0.534425 |    0.534689 |           72.0078 |
| 70 |       128 |      4096 | torch.bfloat16 |      0.300631  |        0.928566 |    0.928384 |           84.0078 |
| 71 |       128 |      4096 | torch.float32  |      0.586345  |        2.24559  |    2.2497   |           88.0156 |
| 72 |       128 |      8192 | torch.bfloat16 |      1.06819   |        4.27797  |    4.27745  |          136.016  |
| 73 |       128 |      8192 | torch.float32  |      2.11261   |       26.4855   |   14.1415   |          144.031  |
| 74 |       128 |     16384 | torch.bfloat16 |      3.90416   |       15.6386   |   20.1162   |          336.031  |
| 75 |       128 |     16384 | torch.float32  |      8.1199    |       28.534    |   28.5126   |          352.062  |
| 76 |       128 |     32768 | torch.bfloat16 |     15.1675    |       54.8494   |   54.5744   |         1120.06   |
| 77 |       128 |     32768 | torch.float32  |     32.4531    |      265.468    |  246.482    |         1152.12   |
| 78 |       128 |     65536 | torch.bfloat16 |     60.7331    |      470.213    |  445.364    |         4224.12   |
