|    |   d_model |   seq_len |   forward_time |   backward_time |   pre_back_memory |
|---:|----------:|----------:|---------------:|----------------:|------------------:|
|  0 |        16 |       256 |    0.000295    |     0.000212732 |           69.0957 |
|  1 |        16 |      1024 |    0.000437605 |     0.000515659 |          133.133  |
|  2 |        16 |      4096 |    0.00242064  |     0.00392128  |         1120.53   |
|  3 |        16 |      8192 |    0.00662281  |     0.0121818   |         4257.06   |
|  4 |        16 |     16384 |    0.137174    |     0.189383    |        16770.1    |
|  5 |        32 |       256 |    0.000354881 |     0.000221434 |           70.0957 |
|  6 |        32 |      1024 |    0.000448487 |     0.000515258 |          137.133  |
|  7 |        32 |      4096 |    0.00289404  |     0.00366204  |         1136.53   |
|  8 |        32 |      8192 |    0.00771716  |     0.0128234   |         4289.06   |
|  9 |        32 |     16384 |    0.13866     |     0.187784    |        16834.1    |
| 10 |        64 |       256 |    0.000618942 |     0.000235057 |           72.0957 |
| 11 |        64 |      1024 |    0.00166681  |     0.002119    |          145.133  |
| 12 |        64 |      4096 |    0.00280376  |     0.00403792  |         1168.53   |
| 13 |        64 |      8192 |    0.00738104  |     0.0144426   |         4353.06   |
| 14 |        64 |     16384 |    0.13883     |     0.190448    |        16962.1    |
| 15 |       128 |       256 |    0.000917796 |     0.000882462 |           76.0957 |
| 16 |       128 |      1024 |    0.00164018  |     0.00213617  |          161.133  |
| 17 |       128 |      4096 |    0.00305176  |     0.0051793   |         1232.53   |
| 18 |       128 |      8192 |    0.0102721   |     0.0185825   |         4481.06   |
| 19 |       128 |     16384 |    0.139641    |     0.188886    |        17218.1    |
