|    |   d_model |   seq_len | precision      |   forward_time |   backward_time |   full_time |   pre_back_memory |
|---:|----------:|----------:|:---------------|---------------:|----------------:|------------:|------------------:|
|  0 |        16 |       128 | torch.bfloat16 |      0.012056  |        0.261885 |    0.247173 |          0.015625 |
|  1 |        16 |       128 | torch.float32  |      0.0123636 |        0.257469 |    0.253558 |         32.0312   |
|  2 |        16 |       256 | torch.bfloat16 |      0.0176899 |        0.222733 |    0.221888 |         32.0312   |
|  3 |        16 |       256 | torch.float32  |      0.0182168 |        0.231271 |    0.230693 |         32.0625   |
|  4 |        16 |       512 | torch.bfloat16 |      0.0288187 |        0.57909  |    0.575983 |         32.0625   |
|  5 |        16 |       512 | torch.float32  |      0.0322427 |        0.970018 |    0.957212 |         32.125    |
|  6 |        16 |      1024 | torch.bfloat16 |      0.0546629 |        0.315639 |    0.319162 |         32.125    |
|  7 |        16 |      1024 | torch.float32  |      0.0555129 |        0.341929 |    0.333416 |         32.25     |
|  8 |        16 |      2048 | torch.bfloat16 |      0.0975157 |        0.317552 |    0.314522 |         32.25     |
|  9 |        16 |      2048 | torch.float32  |      0.113154  |        0.343148 |    0.343374 |         32.5      |
| 10 |        16 |      4096 | torch.bfloat16 |      0.201429  |        0.637529 |    0.637668 |         32.5      |
| 11 |        16 |      4096 | torch.float32  |      0.217929  |        1.28987  |    1.28693  |         33        |
| 12 |        16 |      8192 | torch.bfloat16 |      0.407415  |        2.88524  |    2.88706  |         33        |
| 13 |        16 |      8192 | torch.float32  |      0.450423  |        6.04231  |    6.03617  |         34        |
| 14 |        16 |     16384 | torch.bfloat16 |      0.939389  |        9.62155  |    9.62029  |         34        |
| 15 |        16 |     16384 | torch.float32  |      1.19995   |       14.741    |   14.8623   |         36        |
| 16 |        16 |     32768 | torch.bfloat16 |      2.69847   |       32.1535   |   31.8455   |         36        |
| 17 |        16 |     32768 | torch.float32  |      3.97243   |      256.884    |  247.152    |         40        |
| 18 |        16 |     65536 | torch.bfloat16 |      9.58011   |      502.517    |  509.113    |         40        |
| 19 |        16 |     65536 | torch.float32  |     14.5712    |      nan        |  nan        |         48        |
| 20 |        32 |       128 | torch.bfloat16 |      0.0131134 |        0.313342 |    0.316155 |         32.0312   |
| 21 |        32 |       128 | torch.float32  |      0.0136987 |        0.324253 |    0.32046  |         32.0625   |
| 22 |        32 |       256 | torch.bfloat16 |      0.0202384 |        0.30964  |    0.307399 |         32.0625   |
| 23 |        32 |       256 | torch.float32  |      0.021591  |        0.326321 |    0.323868 |         32.125    |
| 24 |        32 |       512 | torch.bfloat16 |      0.0353341 |        0.565173 |    0.56514  |         32.125    |
| 25 |        32 |       512 | torch.float32  |      0.0372408 |        0.946957 |    0.936312 |         32.25     |
| 26 |        32 |      1024 | torch.bfloat16 |      0.0618205 |        0.315187 |    0.315047 |         32.25     |
| 27 |        32 |      1024 | torch.float32  |      0.0696057 |        0.599969 |    0.599073 |         32.5      |
| 28 |        32 |      2048 | torch.bfloat16 |      0.123947  |        0.313605 |    0.314711 |         32.5      |
| 29 |        32 |      2048 | torch.float32  |      0.132415  |        0.372902 |    0.372795 |         33        |
| 30 |        32 |      4096 | torch.bfloat16 |      0.244037  |        0.679942 |    0.680266 |         33        |
| 31 |        32 |      4096 | torch.float32  |      0.257286  |        1.9614   |    5.31482  |         34        |
| 32 |        32 |      8192 | torch.bfloat16 |      0.487354  |        5.37311  |   10.4039   |         34        |
| 33 |        32 |      8192 | torch.float32  |      0.532586  |        6.07971  |   17.8237   |         36        |
| 34 |        32 |     16384 | torch.bfloat16 |      1.14298   |       17.1281   |   46.5006   |         36        |
| 35 |        32 |     16384 | torch.float32  |      1.43477   |       16.268    |   15.538    |         40        |
| 36 |        32 |     32768 | torch.bfloat16 |      3.77954   |       33.5476   |   33.8157   |         40        |
| 37 |        32 |     32768 | torch.float32  |      4.94955   |      254.867    |  243.549    |         48        |
| 38 |        32 |     65536 | torch.bfloat16 |     13.2076    |      506.991    |  519.973    |         48        |
| 39 |        32 |     65536 | torch.float32  |     18.1545    |      nan        |  nan        |         64        |
| 40 |        64 |       128 | torch.bfloat16 |      0.0139293 |        0.317251 |    0.313578 |         32.0625   |
| 41 |        64 |       128 | torch.float32  |      0.0209373 |        0.323542 |    0.321651 |         32.125    |
| 42 |        64 |       256 | torch.bfloat16 |      0.0215264 |        0.301406 |    0.299948 |         32.125    |
